Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bahrain,BHR,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,59.0027891704387,66.8346508823664,50.3566602372733,45.0173153136849,50.1771114184211,53.3203933261076,42.1282144838203,29.8191901321903,0.0520982100390362
Kuwait,KWT,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,94.2171787337716,95.2169457886681,92.4993007083526,92.7391106201563,93.5741930367838,90.8951500827978,94.3677875430526,92.8791686402667,94.6305212160108
Malta,MLT,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,42.4419896280075,43.0419496539175,38.4493264489492,25.3681683821948,37.7911895860483,31.0009793297692,28.8435966465491,3.15924987147968,7.27457607208956
Oman,OMN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,82.6128731508305,81.6727512854849,76.1568860871844,76.052172528574,73.6831825643426,75.1858802471844,76.3087021288282,63.6348897569431,65.2855836380628
Qatar,QAT,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,89.9813548660954,87.8136789876161,83.6583736058125,85.0429975482696,87.5565130224043,86.1296391093726,88.8105651715138,81.8145904890777,84.4038969131069
Saudi Arabia,SAU,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,87.5705430575713,85.1657914409074,78.4307733758804,77.5498175972453,79.8468152028451,81.0169837485904,79.6215196442977,67.6226198966955,77.4945361578543
United Arab Emirates,ARE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,55.8450474819963,50.7904126785472,37.6515533891839,31.5589751074458,35.9974179478646,68.5381737167988,77.8387271988389,71.434331985329,70.3219846270872
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,
